,Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
1,59:39:00,,Johan Hansen (SG Flensburg-Handewitt) trifft nur den Pfosten.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
2,59:22:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
3,59:15:00,,Der Wurf von Lukas Blohme (VfL Gummersbach) landet hinter dem Tor.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
4,59:01:00,31:29:00,Simon Hald Jensen (SG Flensburg-Handewitt) überwindet den Torwart von (6M) zum neuen Spielstand von 31:29.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
5,58:53:00,,Siebter Spieler eingewechselt SG Flensburg-Handewitt,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,1,0,0,0,0
6,58:39:00,,Tom Jansen (VfL Gummersbach) scheitert am Torwart Benjamin Buric (SG Flensburg-Handewitt).,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
7,58:25:00,,Auszeit VfL Gummersbach,VfL Gummersbach,SG Flensburg-Handewitt,1,0,0,0,0,0,0,0
8,57:24:00,,"Der Trainer von SG Flensburg-Handewitt, Maik Machulla stellt nun Benjamin Buric zwischen die Pfosten.",VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
9,57:29:00,31:28:00,"Neuer Spielstand in Gummersbach, 31:28 durch den Treffer von Dominik Mappes für VfL Gummersbach.",VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
10,56:41:00,,"Neuer Spielstand in Gummersbach, 30:28 durch den Treffer von Simon Hald Jensen für SG Flensburg-Handewitt.",VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
11,56:11:00,30:27:00,"Neuer Spielstand in Gummersbach, 30:27 durch den Treffer RA von Lukas Blohme für VfL Gummersbach.",VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
12,55:58:00,29:27:00,Lasse Kjær Møller (SG Flensburg-Handewitt) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 29:27.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
13,55:26:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
14,55:17:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
15,55:04:00,,Auszeit SG Flensburg-Handewitt,VfL Gummersbach,SG Flensburg-Handewitt,0,1,0,0,0,0,0,0
16,54:56:00,29:26:00,Lukas Blohme (VfL Gummersbach) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 29:26.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
17,54:53:00,,"Parade des Torwarts von VfL Gummersbach, Tibor Ivanisevic.",VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
18,54:39:00,28:26:00,Tor (6M)! Tom Jansen (VfL Gummersbach) netzt ein zum neuen Spielstand von 28:26.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
19,54:00:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
20,53:48:00,,Tibor Ivanisevic (VfL Gummersbach) hält den Wurf von Hans Aaron Mensing.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
21,53:28:00,,"Der Torwart von VfL Gummersbach, Tibor Ivanisevic hält den Wurf von Gøran Søgard Johannessen.",VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
22,52:32:00,,Miro Schluroff von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
23,52:28:00,,"Block von Simon Hald Jensen, der den Torwurf von Dominik Mappes verhindert.",VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
24,51:54:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,SG Flensburg-Handewitt,0,0,1,0,0,0,0,0
25,51:45:00,27:26:00,Emil Jakobsen (SG Flensburg-Handewitt) trifft zum Spielstand von 27:26 in SCHWALBE arena.,VfL Gummersbach,SG Flensburg-Handewitt,0,0,0,0,0,0,0,0
