Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,"Ellidi Snaer Vidarsson (RM/fern) wirft, jedoch neben das Tor.",VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:49:00,28:29:00,Tor (RM/fern)! Emil Buhl Lærke (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 28:29.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
59:23:00,,Auszeit TBV Lemgo Lippe,VfL Gummersbach,TBV Lemgo Lippe,0,1,0,0,0,0,0,0
58:58:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
58:47:00,28:28:00,28:28:00 Mathis Häseler (VfL Gummersbach) überwindet den Torwart von (RA) zum neuen Spielstand von 28:28.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
58:04:00,,"Der Torwart von TBV Lemgo Lippe, Finn Zecher hält den Wurf von Julian Köster.",VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:36:00,,"Block von Gedeon Guardiola, der den Torwurf von Tom Jansen verhindert.",VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
57:08:00,27:28:00,"Neuer Spielstand in Gummersbach, 27:28 durch den Treffer LA von Kian Schwarzer für TBV Lemgo Lippe.",VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:47:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
56:35:00,,"Wurf von Miro Schluroff (VfL Gummersbach), aber der Ball landet nur am Pfosten.",VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
56:12:00,,Auszeit VfL Gummersbach,VfL Gummersbach,TBV Lemgo Lippe,1,0,0,0,0,0,0,0
56:08:00,,"Der Torwart von VfL Gummersbach, Tibor Ivanisevic pariert den Wurf.",VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
55:28:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
55:08:00,,Miro Schluroff von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:38:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
54:25:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
54:09:00,,Der Wurf von Julian Köster (VfL Gummersbach) landet hinter dem Tor.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
53:38:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
53:26:00,27:27:00,Tom Jansen (VfL Gummersbach) trifft zum Spielstand von 27:27 in SCHWALBE arena.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
52:57:00,26:27:00,Tim Suton (TBV Lemgo Lippe) überwindet den Torwart zum neuen Spielstand von 26:27.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
52:42:00,26:26:00,Tor! Frederik Simak (TBV Lemgo Lippe) netzt ein zum neuen Spielstand von 26:26.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
52:36:00,,Überragende Parade des Torwarts Finn Zecher (TBV Lemgo Lippe)! Miro Schluroff kann den Ball nicht im Tor unterbringen!,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
51:24:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
51:19:00,26:25:00,"26:25:00 Neuer Spielstand in Gummersbach, 26:25 durch den Treffer von Julian Köster für VfL Gummersbach.",VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
50:25:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
50:20:00,25:25:00,"25:25:00 Neuer Spielstand in Gummersbach, 25:25 durch den Treffer 6M von Miro Schluroff für VfL Gummersbach.",VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
49:46:00,,Tibor Ivanisevic (VfL Gummersbach) hält den Wurf von Jan Brosch.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
49:27:00,,"Parade des Torwarts von VfL Gummersbach, Tibor Ivanisevic.",VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
48:58:00,,Siebter Spieler eingewechselt TBV Lemgo Lippe,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,1,0,0,0,0
48:44:00,24:25:00,Tor (6M)! Mathis Häseler (VfL Gummersbach) netzt ein zum neuen Spielstand von 24:25.,VfL Gummersbach,TBV Lemgo Lippe,0,0,0,0,0,0,0,0
