Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
60:00:00,,Der Schiedsrichter zeigt Lukas Blohme (VfL Gummersbach) die Rote Karte.,VfL Gummersbach,Bergischer HC,0,0,0,0,1,0,0,1
60:00:00,37:34:00,"Tor von der 7-Meter Linie von Arnor Thor Gunnarsson (Bergischer HC), neuer Spielstand 37:34.",VfL Gummersbach,Bergischer HC,0,0,0,0,1,0,0,0
60:00:00,,Lukas Blohme (VfL Gummersbach) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,VfL Gummersbach,Bergischer HC,0,0,0,0,1,0,0,1
59:41:00,37:33:00,Tilen Kodrin (VfL Gummersbach) trifft zum Spielstand von 37:33 in SCHWALBE arena.,VfL Gummersbach,Bergischer HC,0,0,0,0,0,0,0,0
59:22:00,36:33:00,Tor (RM/fern)! Alexander Weck (Bergischer HC) netzt ein zum neuen Spielstand von 36:33.,VfL Gummersbach,Bergischer HC,0,0,0,0,0,0,0,0
59:00:00,,Zeitstrafe vorbei Bergischer HC,VfL Gummersbach,Bergischer HC,0,0,0,0,0,1,0,0
58:59:00,36:32:00,Ellidi Snaer Vidarsson (VfL Gummersbach) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 36:32.,VfL Gummersbach,Bergischer HC,0,0,0,0,0,1,0,0
58:43:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,Bergischer HC,0,0,0,0,0,1,0,0
58:33:00,35:32:00,Tor! Ellidi Snaer Vidarsson (VfL Gummersbach) netzt ein zum neuen Spielstand von 35:32.,VfL Gummersbach,Bergischer HC,0,0,0,0,0,1,0,0
58:32:00,,Auszeit Bergischer HC,VfL Gummersbach,Bergischer HC,0,1,0,0,0,1,0,0
58:18:00,,"Block von Tom Kare Nikolaisen, der den Torwurf von Dominik Mappes verhindert.",VfL Gummersbach,Bergischer HC,0,0,0,0,0,1,0,0
57:46:00,34:32:00,Elias Scholtes (Bergischer HC) überwindet den Torwart zum neuen Spielstand von 34:32.,VfL Gummersbach,Bergischer HC,0,0,0,0,0,1,0,0
57:32:00,,Siebter Spieler eingewechselt Bergischer HC,VfL Gummersbach,Bergischer HC,0,0,0,1,0,1,0,0
57:31:00,34:31:00,"Neuer Spielstand in Gummersbach, 34:31 durch den Treffer 6M von Dominik Mappes für VfL Gummersbach.",VfL Gummersbach,Bergischer HC,0,0,0,0,0,1,0,0
56:59:00,,Frederik Ladefoged (Bergischer HC) erhält eine 2 Minuten Strafe.,VfL Gummersbach,Bergischer HC,0,0,0,0,0,1,1,0
