Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:44:00,,"Sebastian Heymann (RM/fern) wirft, jedoch neben das Tor.",VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:29:00,,"Block von Ellidi Snaer Vidarsson, der den Torwurf von Tobias Ellebaek verhindert.",VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
59:23:00,35:32:00,"Neuer Spielstand in Gummersbach, 35:32 durch den Treffer von Tilen Kodrin für VfL Gummersbach.",VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
34:32:00,,Tor (6M)! Blaz Blagotinsek (FRISCH AUF! Göppingen) netzt ein zum neuen Spielstand von 34:32.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:49:00,34:31:00,Tor! Ellidi Snaer Vidarsson (VfL Gummersbach) netzt ein zum neuen Spielstand von 34:31.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:28:00,,VfL Gummersbach wechselt den Torwart. Tibor Ivanisevic kommt für Fabian Norsten.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
33:31:00,,"Tor von der 7-Meter Linie von Axel Goller (FRISCH AUF! Göppingen), neuer Spielstand 33:31.",VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:18:00,,"Der Trainer von VfL Gummersbach, Gudjon Valur Sigurdsson stellt nun Fabian Norsten zwischen die Pfosten.",VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
58:08:00,,Auszeit FRISCH AUF! Göppingen,VfL Gummersbach,FRISCH AUF! Göppingen,0,1,0,0,0,0,0,0
57:54:00,33:30:00,"Neuer Spielstand in Gummersbach, 33:30 durch den Treffer von Lukas Blohme für VfL Gummersbach.",VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:28:00,,Der eingewechselte Torwart Tibor Ivanisevic (VfL Gummersbach) steht nun zwischen den Pfosten.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:16:00,,Fabian Norsten (VfL Gummersbach) bleibt Sieger im 7-Meter-Duell gegen Marcel Schiller (FRISCH AUF! Göppingen).,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
57:07:00,,Nun wird Fabian Norsten für VfL Gummersbach im Tor stehen.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
56:33:00,32:30:00,Der 7-Meter wurde von Dominik Mappes (VfL Gummersbach) erfolgreich verwandelt.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
55:47:00,31:30:00,Jon Lindenchrone Andersen (FRISCH AUF! Göppingen) überwindet den Torwart zum neuen Spielstand von 31:30.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:19:00,,Der Wurf von FRISCH AUF! Göppingen wurde geblockt.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
54:16:00,,Siebter Spieler eingewechselt FRISCH AUF! Göppingen,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,1,0,0,0,0
53:46:00,,Torwartwechsel bei FRISCH AUF! Göppingen. Daniel Rebmann kommt für Marin Sego.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:43:00,31:29:00,"Neuer Spielstand in Gummersbach, 31:29 durch den Treffer RA von Lukas Blohme für VfL Gummersbach.",VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:21:00,,Josip Sarac (FRISCH AUF! Göppingen) scheitert am Torwart Tibor Ivanisevic (VfL Gummersbach).,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
53:01:00,,Auszeit FRISCH AUF! Göppingen,VfL Gummersbach,FRISCH AUF! Göppingen,0,1,0,0,0,0,0,0
52:50:00,,Der Wurf von Julian Köster (VfL Gummersbach) landet hinter dem Tor.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,0,0,0,0
52:05:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
51:35:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,1,0,1,0,0,0
51:27:00,,Tibor Ivanisevic (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,1,0,0,0
50:53:00,,Zeitstrafe vorbei FRISCH AUF! Göppingen,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,1,1,0,0
50:39:00,30:29:00,Ellidi Snaer Vidarsson (VfL Gummersbach) trifft zum Spielstand von 30:29 in SCHWALBE arena.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,1,1,0,0
50:31:00,,Jaka Malus (FRISCH AUF! Göppingen) trifft von (RM/fern). Neuer Spielstand in SCHWALBE arena: 29:29.,VfL Gummersbach,FRISCH AUF! Göppingen,0,0,0,0,1,1,0,0
