Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:37:00,32:31:00,"Neuer Spielstand in Gummersbach, 32:31 durch den Treffer von Christopher Bissel für HC Erlangen.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
58:51:00,,Auszeit VfL Gummersbach,VfL Gummersbach,HC Erlangen,1,0,0,0,0,0,0,0
58:26:00,32:30:00,Sebastian Firnhaber (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 32:30.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
58:15:00,,"Der Torwart von HC Erlangen, Bertram Obling pariert den Wurf.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
57:48:00,32:29:00,"Tor! Es war Nico Büdel (HC Erlangen), der das Tor von Sebastian Firnhaber vorbereitete.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
57:11:00,,Parade von Torwart Bertram Obling (HC Erlangen).,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
56:36:00,,Fabian Norsten (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
56:26:00,,Dominik Mappes von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
55:47:00,32:28:00,Stephan Seitz (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 32:28.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
55:02:00,,Der Wurf von Hampus Olsson (HC Erlangen) landet hinter dem Tor.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
54:53:00,32:27:00,Tor (RA)! Lukas Blohme (VfL Gummersbach) netzt ein zum neuen Spielstand von 32:27.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
54:06:00,,"Block von Tom Jansen, der den Torwurf von Simon Jeppsson verhindert.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
53:25:00,,Zeitstrafe vorbei HC Erlangen,VfL Gummersbach,HC Erlangen,0,0,0,0,0,1,0,0
52:39:00,,Siebter Spieler eingewechselt HC Erlangen,VfL Gummersbach,HC Erlangen,0,0,0,1,0,1,0,0
52:29:00,31:27:00,Tor! Tilen Kodrin (VfL Gummersbach) netzt ein zum neuen Spielstand von 31:27.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,1,0,0
52:18:00,,Sebastian Firnhaber (HC Erlangen) scheitert am Torwart Fabian Norsten (VfL Gummersbach).,VfL Gummersbach,HC Erlangen,0,0,0,0,0,1,0,0
51:41:00,,Siebter Spieler eingewechselt HC Erlangen,VfL Gummersbach,HC Erlangen,0,0,0,1,0,1,0,0
51:33:00,30:27:00,Ellidi Snaer Vidarsson (VfL Gummersbach) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 30:27.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,1,0,0
51:24:00,,Tim Zechel (HC Erlangen) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,1,1,0
51:10:00,29:27:00,Manuel Zehnder (HC Erlangen) überwindet den Torwart von (6M) zum neuen Spielstand von 29:27.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
50:51:00,29:26:00,"Neuer Spielstand in Gummersbach, 29:26 durch den Treffer von Dominik Mappes für VfL Gummersbach.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
50:33:00,,Auszeit VfL Gummersbach,VfL Gummersbach,HC Erlangen,1,0,0,0,0,0,0,0
28:26:00,28:26:00,"Neuer Spielstand in Gummersbach, 28:26 durch den Treffer 6M von Hampus Olsson für HC Erlangen.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
50:17:00,,"Gute Torchance, aber Ole Pregler (VfL Gummersbach) kann diese nicht erfolgreich verwandeln.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
28:25:00,28:25:00,Tim Zechel (HC Erlangen) trifft zum Spielstand von 28:25 in SCHWALBE arena.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
49:12:00,,Fabian Norsten (VfL Gummersbach) hält den Wurf von Christoph Steinert.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
48:23:00,,"Der Trainer von HC Erlangen, Raúl Alonso stellt nun Bertram Obling zwischen die Pfosten.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
28:24:00,28:24:00,Ole Pregler (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 28:24.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
47:40:00,,Manuel Zehnder von HC Erlangen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
47:16:00,27:24:00,Tor! Julian Köster (VfL Gummersbach) netzt ein zum neuen Spielstand von 27:24.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
47:09:00,26:24:00,Manuel Zehnder (HC Erlangen) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 26:24.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
46:50:00,,Der Wurf von HC Erlangen wurde geblockt.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
46:48:00,,Zeitstrafe vorbei HC Erlangen,VfL Gummersbach,HC Erlangen,0,0,0,0,0,1,0,0
45:20:00,26:23:00,Dominik Mappes (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 26:23.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,1,0,0
45:14:00,,Fabian Norsten (VfL Gummersbach) mit einer Parade.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,1,0,0
44:54:00,,Auszeit HC Erlangen,VfL Gummersbach,HC Erlangen,0,1,0,0,0,1,0,0
44:46:00,,Siebter Spieler eingewechselt HC Erlangen,VfL Gummersbach,HC Erlangen,0,0,0,1,0,1,0,0
44:45:00,,Steffen Fäth (HC Erlangen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,1,1,0
44:43:00,25:23:00,Dominik Mappes (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 25:23.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
44:35:00,,"Block von Tom Jansen, der den Torwurf von Steffen Fäth verhindert.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
43:42:00,24:23:00,Dominik Mappes (VfL Gummersbach) trifft zum Spielstand von 24:23 in SCHWALBE arena.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
43:15:00,23:23,Tor (6M)! Sebastian Firnhaber (HC Erlangen) netzt ein zum neuen Spielstand von 23:23.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
43:03:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
43:01:00,23:22,"Neuer Spielstand in Gummersbach, 23:22 durch den Treffer LA von Tilen Kodrin für VfL Gummersbach.",VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
42:48:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,HC Erlangen,0,0,1,0,1,0,0,0
42:24:00,,Der Wurf von Christopher Bissel (HC Erlangen) landet hinter dem Tor.,VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
42:05:00,,"Der Torwart von VfL Gummersbach, Fabian Norsten hält den Wurf von Christopher Bissel.",VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
41:55:00,,VfL Gummersbach wechselt den Torwart. Fabian Norsten kommt für Tibor Ivanisevic.,VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
41:55:00,,Tibor Ivanisevic (VfL Gummersbach) hält den Wurf von Sebastian Firnhaber.,VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
41:23:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,HC Erlangen,0,0,1,0,1,0,0,0
41:12:00,22:22,"Neuer Spielstand in Gummersbach, 22:22 durch den Treffer von Christoph Steinert für HC Erlangen.",VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
41:09:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
40:59:00,,"Nach einem harten Foul hat Ellidi Snaer Vidarsson (VfL Gummersbach) nun zwei Minuten Zeit, um sich auszuruhen.",VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,1
40:36:00,22:21,"Neuer Spielstand in Gummersbach, 22:21 durch den Treffer von Tom Jansen für VfL Gummersbach.",VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
40:23:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,HC Erlangen,0,0,1,0,1,0,0,0
40:12:00,,"Parade des Torwarts von HC Erlangen, Klemen Ferlin.",VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
39:30:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,HC Erlangen,0,0,1,0,1,0,0,0
39:11:00,21:21,Christoph Steinert (HC Erlangen) trifft von der 7-Meter Linie und bringt den Spielstand auf 21:21.,VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,0
39:07:00,,2-Minuten-Strafe für Tom Kiesler. VfL Gummersbach muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,VfL Gummersbach,HC Erlangen,0,0,0,0,1,0,0,1
38:57:00,,Nun wird Klemen Ferlin für HC Erlangen im Tor stehen.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
38:47:00,21:20,"Neuer Spielstand in Gummersbach, 21:20 durch den Treffer 6M von Ellidi Snaer Vidarsson für VfL Gummersbach.",VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
38:32:00,,Parade von Torwart Tibor Ivanisevic (VfL Gummersbach).,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
37:18:00,20:20,Lukas Blohme (VfL Gummersbach) trifft zum Spielstand von 20:20 in SCHWALBE arena.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
37:05:00,,Fehlwurf von Simon Jeppsson (HC Erlangen).,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
35:09:00,19:20,Sebastian Firnhaber (HC Erlangen) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 19:20.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
34:39:00,19:19,Tor (RM/fern)! Julian Köster (VfL Gummersbach) netzt ein zum neuen Spielstand von 19:19.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
34:30:00,18:19,Hampus Olsson (HC Erlangen) überwindet den Torwart zum neuen Spielstand von 18:19.,VfL Gummersbach,HC Erlangen,0,0,0,0,0,0,0,0
