Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:45:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,HSG Wetzlar,0,0,0,0,1,0,0,0
59:33:00,37:30:00,Tor (RM/fern)! Magnus Fredriksen (HSG Wetzlar) netzt ein zum neuen Spielstand von 37:30.,VfL Gummersbach,HSG Wetzlar,0,0,0,0,1,0,0,0
58:36:00,37:29:00,Ellidi Snaer Vidarsson (VfL Gummersbach) überwindet den Torwart von (RM/fern) zum neuen Spielstand von 37:29.,VfL Gummersbach,HSG Wetzlar,0,0,0,0,1,0,0,0
58:02:00,36:29:00,Adam Nyfjäll (HSG Wetzlar) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 36:29.,VfL Gummersbach,HSG Wetzlar,0,0,0,0,1,0,0,0
57:38:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,HSG Wetzlar,0,0,1,0,1,0,0,0
57:38:00,,Stepan Zeman geht den Gegner zu stark an. VfL Gummersbach muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,VfL Gummersbach,HSG Wetzlar,0,0,0,0,1,0,0,1
57:26:00,36:28:00,Lukas Blohme (VfL Gummersbach) trifft zum Spielstand von 36:28 in SCHWALBE arena.,VfL Gummersbach,HSG Wetzlar,0,0,0,0,0,0,0,0
56:56:00,35:28:00,Lenny Rubin (HSG Wetzlar) trifft zum Spielstand von 35:28 in SCHWALBE arena.,VfL Gummersbach,HSG Wetzlar,0,0,0,0,0,0,0,0
56:31:00,35:27:00,Tilen Kodrin (VfL Gummersbach) trifft von (RM/fern). Neuer Spielstand in SCHWALBE arena: 35:27.,VfL Gummersbach,HSG Wetzlar,0,0,0,0,0,0,0,0
54:50:00,34:27:00,"Neuer Spielstand in Gummersbach, 34:27 durch den Treffer RA von Lukas Blohme für VfL Gummersbach.",VfL Gummersbach,HSG Wetzlar,0,0,0,0,0,0,0,0
54:30:00,,Magnus Fredriksen (HSG Wetzlar) überwindet den Torwart zum neuen Spielstand von 33:27.,VfL Gummersbach,HSG Wetzlar,0,0,0,0,0,0,0,0
