Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:59:00,31:23:00,Paul Ohl (VfL Gummersbach) trifft zum Spielstand von 31:23 in SCHWALBE arena.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
59:40:00,,"Parade des Torwarts von VfL Gummersbach, Tibor Ivanisevic.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
59:03:00,,"Block von Stepan Zeman, der den Torwurf von André Gomes verhindert.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
58:52:00,,Der Wurf von Paul Ohl (VfL Gummersbach) landet hinter dem Tor.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
58:26:00,30:23:00,Tor (RA)! Julian Fuchs (MT Melsungen) netzt ein zum neuen Spielstand von 30:23.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
57:51:00,30:22:00,"Neuer Spielstand in Gummersbach, 30:22 durch den Treffer von Stepan Zeman für VfL Gummersbach.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
57:22:00,29:22:00,André Gomes (MT Melsungen) legt den Treffer von Arnar Freyr Arnarsson auf. Es steht 29:22.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
56:53:00,,Stepan Zeman von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
56:00:00,29:21:00,Tor! Arnar Freyr Arnarsson (MT Melsungen) netzt ein zum neuen Spielstand von 29:21.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
54:44:00,,Aidenas Malasinskas (MT Melsungen) scheitert am Torwart Tibor Ivanisevic (VfL Gummersbach).,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
53:58:00,,Tom Jansen von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
53:24:00,29:20:00,André Gomes (MT Melsungen) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 29:20.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
52:42:00,29:19:00,Stepan Zeman (VfL Gummersbach) überwindet den Torwart von (6M) zum neuen Spielstand von 29:19.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
52:32:00,,Kai Häfner von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
52:25:00,28:19:00,Ole Pregler (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 28:19.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
51:47:00,27:19:00,Tor! Elvar Örn Jonsson (MT Melsungen) netzt ein zum neuen Spielstand von 27:19.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
51:39:00,,"Block von Arnar Freyr Arnarsson, der den Torwurf von Ole Pregler verhindert.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
51:03:00,,Parade von Torwart Tibor Ivanisevic (VfL Gummersbach).,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
50:31:00,27:18:00,"Neuer Spielstand in Gummersbach, 27:18 durch den Treffer LA von Tilen Kodrin für VfL Gummersbach.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
49:54:00,26:18:00,André Gomes (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 26:18.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
49:43:00,,"Der Torwart von MT Melsungen, Adam Morawski hält den Wurf von Tom Jansen.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
49:21:00,,Tibor Ivanisevic (VfL Gummersbach) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
49:15:00,26:17:00,"Tor von der 7-Meter Linie von Timo Kastening (MT Melsungen), neuer Spielstand 26:17.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
49:00:00,,Fabian Norsten (VfL Gummersbach) wurde soeben eingewechselt und soll nun die Abwehr stabilisieren.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
48:12:00,,"Julian Köster (6M) wirft, jedoch neben das Tor.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
47:43:00,,Überragende Parade des Torwarts Tibor Ivanisevic (VfL Gummersbach)! Timo Kastening kann den Ball nicht im Tor unterbringen!,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
47:32:00,,Adam Morawski (MT Melsungen) hält den Wurf von Ellidi Snaer Vidarsson.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
47:08:00,,"Der Torwart von VfL Gummersbach, Tibor Ivanisevic pariert den Wurf.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
46:38:00,,Zeitstrafe vorbei MT Melsungen,VfL Gummersbach,MT Melsungen,0,0,0,0,0,1,0,0
46:35:00,,Siebter Spieler eingewechselt MT Melsungen,VfL Gummersbach,MT Melsungen,0,0,0,1,0,1,0,0
46:25:00,26:16:00,Ellidi Snaer Vidarsson (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 26:16.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,1,0,0
45:24:00,,"Der Torwart von MT Melsungen, Adam Morawski hält den Wurf von Ellidi Snaer Vidarsson.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,1,0,0
45:16:00,,Siebter Spieler eingewechselt MT Melsungen,VfL Gummersbach,MT Melsungen,0,0,0,1,0,1,0,0
44:43:00,,Der Schiedsrichter zeigt Gleb Kalarash (MT Melsungen) die Rote Karte.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,1,1,0
44:43:00,,Gleb Kalarash (MT Melsungen) erhält eine Zeitstrafe und hat nun zwei Minuten Zeit sich auf der Bank zu beruhigen.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,1,1,0
44:43:00,25:16:00,Julian Köster (VfL Gummersbach) trifft zum Spielstand von 25:16 in SCHWALBE arena.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
44:31:00,,"Chance für Aidenas Malasinskas (MT Melsungen), er trifft aber nur den Pfosten.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
43:50:00,,Lukas Blohme von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
43:30:00,,Auszeit VfL Gummersbach,VfL Gummersbach,MT Melsungen,1,0,0,0,0,0,0,0
43:24:00,24:16:00,Kai Häfner (MT Melsungen) trifft von (6M). Neuer Spielstand in SCHWALBE arena: 24:16.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
43:11:00,,"Parade des Torwarts von MT Melsungen, Adam Morawski.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
43:01:00,24:15:00,Tor (6M)! Gleb Kalarash (MT Melsungen) netzt ein zum neuen Spielstand von 24:15.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
42:48:00,,Ole Pregler (VfL Gummersbach) scheitert am Torwart Adam Morawski (MT Melsungen).,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
42:17:00,,"Gute Torchance, aber Elvar Örn Jonsson (MT Melsungen) kann diese nicht erfolgreich verwandeln.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
41:57:00,,"Der Trainer von MT Melsungen, Roberto Garcia Parrondo stellt nun Adam Morawski zwischen die Pfosten.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
41:53:00,,Siebter Spieler eingewechselt MT Melsungen,VfL Gummersbach,MT Melsungen,0,0,0,1,0,0,0,0
41:44:00,24:14:00,"Neuer Spielstand in Gummersbach, 24:14 durch den Treffer von Julian Köster für VfL Gummersbach.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
41:05:00,,Zeitstrafe vorbei VfL Gummersbach,VfL Gummersbach,MT Melsungen,0,0,0,0,1,0,0,0
40:58:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,MT Melsungen,0,0,1,0,1,0,0,0
40:48:00,,Fehlwurf von Gleb Kalarash (MT Melsungen).,VfL Gummersbach,MT Melsungen,0,0,0,0,1,0,0,0
40:25:00,23:14,Lukas Blohme (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 23:14.,VfL Gummersbach,MT Melsungen,0,0,0,0,1,0,0,0
39:55:00,,Ole Pregler von VfL Gummersbach unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,MT Melsungen,0,0,0,0,1,0,0,0
39:34:00,,Zeitstrafe vorbei MT Melsungen,VfL Gummersbach,MT Melsungen,0,0,0,0,1,1,0,0
39:33:00,,Siebter Spieler eingewechselt VfL Gummersbach,VfL Gummersbach,MT Melsungen,0,0,1,0,1,1,0,0
39:25:00,22:14,Kai Häfner (MT Melsungen) überwindet den Torwart von (6M) zum neuen Spielstand von 22:14.,VfL Gummersbach,MT Melsungen,0,0,0,0,1,1,0,0
39:04:00,,Es gibt eine 2 Minuten Strafe für Stepan Zeman (VfL Gummersbach).,VfL Gummersbach,MT Melsungen,0,0,0,0,1,1,0,1
38:07:00,,Siebter Spieler eingewechselt MT Melsungen,VfL Gummersbach,MT Melsungen,0,0,0,1,0,1,0,0
38:00:00,22:13,"Tor von der 7-Meter Linie von Lukas Blohme (VfL Gummersbach), neuer Spielstand 22:13.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,1,0,0
37:35:00,,Gleb Kalarash geht den Gegner zu stark an. MT Melsungen muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,1,1,0
36:46:00,,Aidenas Malasinskas von MT Melsungen unterläuft ein technischer Fehler. Der Ballbesitz wechselt.,VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
35:57:00,,"Wurf von Lukas Blohme (VfL Gummersbach), aber der Ball landet nur am Pfosten.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
35:49:00,21:13,"Neuer Spielstand in Gummersbach, 21:13 durch den Treffer von Timo Kastening für MT Melsungen.",VfL Gummersbach,MT Melsungen,0,0,0,0,0,0,0,0
