Time,Score,Event.Description,Hometeam,Awayteam,Timeout_Hometeam,Timeout_Awayteam,SeventhPlayer_Hometeam,SeventhPlayer_Awayteam,SixthPlayer_Hometeam,SixthPlayer_Awayteam,Penalty_Awayteam,Penalty_Hometeam
59:53:00,26:30:00,Mathis Häseler (VfL Gummersbach) trifft von (RA). Neuer Spielstand in SCHWALBE arena: 26:30.,VfL Gummersbach,THW Kiel,0,0,0,0,0,1,0,0
59:39:00,,Der Wurf von Nikola Bilyk (THW Kiel) landet hinter dem Tor.,VfL Gummersbach,THW Kiel,0,0,0,0,0,1,0,0
59:35:00,,Siebter Spieler eingewechselt THW Kiel,VfL Gummersbach,THW Kiel,0,0,0,1,0,1,0,0
59:35:00,,2-Minuten-Strafe für Filip Jicha. THW Kiel muss nun die nächsten zwei Minuten mit einem Spieler weniger auskommen.,VfL Gummersbach,THW Kiel,0,0,0,0,0,1,1,0
59:32:00,,Zeitstrafe vorbei THW Kiel,VfL Gummersbach,THW Kiel,0,0,0,0,0,1,0,0
58:48:00,,Siebter Spieler eingewechselt THW Kiel,VfL Gummersbach,THW Kiel,0,0,0,1,0,1,0,0
58:32:00,,Tomas Mrkva (THW Kiel) mit einer Parade.,VfL Gummersbach,THW Kiel,0,0,0,0,0,1,0,0
58:18:00,,Hendrik Pekeler (THW Kiel) trifft zum Spielstand von 25:30 in SCHWALBE arena.,VfL Gummersbach,THW Kiel,0,0,0,0,0,1,0,0
57:40:00,25:30:00,Siebter Spieler eingewechselt THW Kiel,VfL Gummersbach,THW Kiel,0,0,0,1,0,1,0,0
57:30:00,25:29:00,Ole Pregler (VfL Gummersbach) überwindet den Torwart zum neuen Spielstand von 25:29.,VfL Gummersbach,THW Kiel,0,0,0,0,0,1,0,0
57:23:00,,"Der Trainer von THW Kiel, Filip Jicha stellt nun Tomas Mrkva zwischen die Pfosten.",VfL Gummersbach,THW Kiel,0,0,0,0,0,1,0,0
57:20:00,,Niklas Landin (THW Kiel) erhält wegen eines Regelverstoßes eine 2 Minuten Strafe.,VfL Gummersbach,THW Kiel,0,0,0,0,0,1,1,0
57:16:00,,Niklas Landin (THW Kiel) mit einer Parade.,VfL Gummersbach,THW Kiel,0,0,0,0,0,0,0,0
56:46:00,24:29:00,Tor (6M)! Nikola Bilyk (THW Kiel) netzt ein zum neuen Spielstand von 24:29.,VfL Gummersbach,THW Kiel,0,0,0,0,0,0,0,0
55:55:00,,Harald Reinkind blockt den Wurf von Julian Köster.,VfL Gummersbach,THW Kiel,0,0,0,0,0,0,0,0
55:28:00,24:28:00,Niclas Ekberg (THW Kiel) trifft von der 7-Meter Linie.,VfL Gummersbach,THW Kiel,0,0,0,0,0,0,0,0
55:17:00,,Tibor Ivanisevic (VfL Gummersbach) bleibt Sieger im 7-Meter-Duell gegen Niclas Ekberg (THW Kiel).,VfL Gummersbach,THW Kiel,0,0,0,0,0,0,0,0
54:27:00,24:27:00,Ole Pregler (VfL Gummersbach) durchbricht die Abwehr und trifft ins gegnerische Tor. Es steht nun 24:27.,VfL Gummersbach,THW Kiel,0,0,0,0,0,0,0,0
53:47:00,,Parade von Torwart Tibor Ivanisevic (VfL Gummersbach).,VfL Gummersbach,THW Kiel,0,0,0,0,0,0,0,0
53:44:00,,Lattenkracher von Harald Reinkind (THW Kiel).,VfL Gummersbach,THW Kiel,0,0,0,0,0,0,0,0
53:31:00,,Auszeit THW Kiel,VfL Gummersbach,THW Kiel,0,1,0,0,0,0,0,0
53:29:00,,Zeitstrafe vorbei THW Kiel,VfL Gummersbach,THW Kiel,0,0,0,0,0,1,0,0
53:19:00,,Siebter Spieler eingewechselt THW Kiel,VfL Gummersbach,THW Kiel,0,0,0,1,0,1,0,0
